x,y,class,gene,nucleus
3892.69,3570.82,Fibroblast / stroma,POSTN,Nuclear
6789.78,507.41,Tumour epithelial,EPCAM,Cytoplasmic
2756.9,736.43,Fibroblast / stroma,Other,Cytoplasmic
878.47,3945.06,Other,CCND1,Nuclear
3751.42,4339.97,Immune,Other,Cytoplasmic
2140.37,1256.1,Tumour epithelial,ERBB2,Cytoplasmic
5853.68,3259.81,Other,SCD,Nuclear
2356.34,2427.81,Fibroblast / stroma,Other,Cytoplasmic
5990.1,4111.55,Fibroblast / stroma,Other,Nuclear
367.61,4996.88,Endothelial / vascular,Other,Cytoplasmic
6923.19,4383.38,Other,Other,Nuclear
6747.17,3761.73,Tumour epithelial,Other,Cytoplasmic
5675.05,2850.87,Other,SCD,Cytoplasmic
1081.79,321.51,Other,Other,Nuclear
6246.73,4009.35,Tumour epithelial,ERBB2,Cytoplasmic
2403.06,1161.06,Other,Other,Cytoplasmic
3671.2,1446.13,Tumour epithelial,Other,Cytoplasmic
1350.24,3338.96,Other,CCND1,Cytoplasmic
5577.18,415.19,Other,Other,Cytoplasmic
1711.04,3091.95,Fibroblast / stroma,LUM,Cytoplasmic
7034.82,461.78,Other,Other,Cytoplasmic
352.12,2647.96,Other,Other,Nuclear
4314.89,5031.48,Fibroblast / stroma,LUM,Cytoplasmic
428.28,1494.37,Other,CCND1,Cytoplasmic
5798.99,2483.48,Fibroblast / stroma,Other,Nuclear
5043.71,3021.54,Immune,Other,Cytoplasmic
4448.38,651.28,Immune,Other,Nuclear
2011.36,3793.85,Other,Other,Cytoplasmic
2457.67,988.49,Other,Other,Cytoplasmic
6927.47,4154.27,Other,Other,Cytoplasmic
283.4,2877.68,Tumour epithelial,FOXA1,Nuclear
7393.2,3720.3,Myoepithelial / muscle,Other,Nuclear
3359.28,3191.77,Adipocyte,Other,Nuclear
1292.54,4405.36,Tumour epithelial,ERBB2,Cytoplasmic
2079.8,4305.81,Fibroblast / stroma,Other,Cytoplasmic
1303.26,3242.39,Other,Other,Cytoplasmic
1402.24,990.15,Other,Other,Nuclear
5524.22,3670.91,Other,Other,Cytoplasmic
6991.77,3569.41,Tumour epithelial,ERBB2,Cytoplasmic
1853.49,2033.87,Tumour epithelial,Other,Cytoplasmic
7356.32,3659.79,Other,SCD,Cytoplasmic
6256.84,3142.77,Other,Other,Cytoplasmic
2680.32,1268.34,Other,Other,Cytoplasmic
131.23,4224.35,Fibroblast / stroma,Other,Cytoplasmic
3682.44,5301.82,Fibroblast / stroma,Other,Cytoplasmic
5761.13,1109.73,Immune,Other,Cytoplasmic
3932.04,2245.25,Fibroblast / stroma,Other,Nuclear
5891.67,3046.02,Tumour epithelial,TACSTD2,Nuclear
3175.36,3074.52,Fibroblast / stroma,Other,Cytoplasmic
1190.72,3058.65,Other,Other,Cytoplasmic
5654.07,2908.84,Other,CCND1,Nuclear
2128.74,513.11,Immune,Other,Cytoplasmic
1198.33,4188.08,Tumour epithelial,Other,Cytoplasmic
5660.33,3609.59,Other,Other,Cytoplasmic
4981.19,2732.37,Other,POLR2J3,Cytoplasmic
2657.37,1382.37,Immune,Other,Nuclear
324.99,3543.01,Tumour epithelial,Other,Nuclear
2491.04,978.33,Other,Other,Cytoplasmic
900.19,304.73,Other,Other,Cytoplasmic
4057.92,4823.49,Other,SCD,Cytoplasmic
2065.66,3706.24,Tumour epithelial,ERBB2,Cytoplasmic
7057.16,915.33,Other,Other,Cytoplasmic
7042.39,4415.91,Fibroblast / stroma,Other,Nuclear
3401.96,4644.19,Fibroblast / stroma,Other,Cytoplasmic
4131.52,4967.26,Tumour epithelial,Other,Nuclear
4793.79,1660.96,Other,POLR2J3,Cytoplasmic
6933.42,562.39,Immune,Other,Nuclear
1231.19,925.27,Other,Other,Nuclear
6955.75,4305.5,Fibroblast / stroma,Other,Cytoplasmic
4362.27,4111.78,Tumour epithelial,Other,Cytoplasmic
2493.23,2560.12,Tumour epithelial,ANKRD30A,Cytoplasmic
