"gene","logFC","AveExpr","t","pvalue","padj"
"SLC16A7",-2.5478,8.9222,-7.1869,6.626e-13,2.441e-11
"FAM19A2",-0.3638,6.4956,-1.5935,0.111,0.1873
"USP15",-0.0697,10.6917,-0.6431,0.5202,0.6289
"MON2",-0.3038,11.015,-1.6908,0.09088,0.159
"PPM1H",0.8567,10.1346,2.7214,0.006502,0.01762
"AVPR1A",-1.5023,8.2398,-5.0993,3.408e-07,3.41e-06
"DPY19L2",-1.5881,6.9933,-4.8254,1.397e-06,1.19e-05
"TMEM5",0.0067,9.2877,0.0697,0.9444,0.9618
"SRGAP1",0.6274,9.7611,2.2866,0.02222,0.04967
"C12orf66",0.0521,8.5921,0.4082,0.6831,0.7676
"XPOT",0.5604,11.3619,3.3669,0.0007602,0.00282
"TBK1",0.1605,10.1464,1.6754,0.09386,0.1632
"RASSF3",-0.4629,10.9555,-2.677,0.007428,0.01971
"GNS",-0.4745,12.9338,-2.5294,0.01143,0.02834
"TBC1D30",0.9978,8.831,3.6489,0.0002634,0.001145
"WIF1",-4.538,7.3403,-5.7773,7.592e-09,1.153e-07
"LEMD3",-0.086,10.2604,-0.5277,0.5977,0.6982
"MSRB3",-1.3828,11.0369,-4.2982,1.722e-05,0.0001076
"LLPH",0.3388,9.7416,2.2504,0.02442,0.0538
"RP11-745O10.4",0.2707,10.8732,1.1594,0.2463,0.3538
"TMBIM4",0.2853,11.3147,1.1775,0.239,0.3456
"IRAK3",-0.8468,9.0714,-2.3927,0.01673,0.03922
"HELB",0.6909,8.7371,2.5301,0.0114,0.02829
"GRIP1",1.3931,8.2907,4.4126,1.022e-05,6.822e-05
"CAND1",0.5187,12.3233,3.3915,0.000695,0.002618
"DYRK2",0.1993,10.4633,0.8228,0.4106,0.5259
"MDM1",0.2914,9.0195,1.5085,0.1314,0.2148
"RAP1B",-0.0962,10.6851,-0.5598,0.5756,0.6786
"NUP107",0.5711,10.6045,3.9721,7.125e-05,0.0003709
"SLC35E3",0.0673,9.42,0.4731,0.6361,0.7291
